	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_11713	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_9380	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5330	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_5904	k__Bacteria	p__Verrucomicrobia	c__S-BQ2-57 soil group	o__	f__	g__	s__
OTU_191	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__B1-7BS	f__	g__	s__
OTU_9060	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_5996	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_5237	k__Archaea	p__Thaumarchaeota	c__Soil Crenarchaeotic Group(SCG)	o__	f__	g__	s__
OTU_3592	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_6302	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_6477	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_7103	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__TM146	g__	s__
OTU_3491	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_2298	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_10118	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_11785	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_3080	k__Bacteria	p__Actinobacteria	c__Nitriliruptoria	o__Nitriliruptorales	f__Nitriliruptoraceae	g__Nitriliruptor	s__
OTU_7434	k__Bacteria	p__Planctomycetes	c__OM190	o__	f__	g__	s__
OTU_2497	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_8393	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_1586	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__	g__	s__
OTU_898	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_4411	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_4185	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Turicibacter	s__
OTU_8993	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_222	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__	g__Blastocatella	s__
OTU_3370	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__
OTU_3849	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Deltaproteobacteria Incertae Sedis	f__Syntrophorhabdaceae	g__Syntrophorhabdus	s__
OTU_5011	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_3386	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__	g__	s__
OTU_9421	k__Bacteria	p__Spirochaetae	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__	s__
OTU_10626	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Candidatus Solibacter	s__
OTU_9039	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Halochromatium	s__
OTU_5146	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_641	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU_6313	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_9492	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_1728	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__Haliangium	s__
OTU_731	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
OTU_141	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4419	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_1492	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_12016	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_11523	Unassigned	p__	c__	o__	f__	g__	s__
OTU_6490	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
OTU_9190	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Ellin6055	g__	s__
OTU_8599	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
OTU_13090	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__Peredibacter	s__
OTU_2665	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__
OTU_1896	k__Bacteria	p__WCHB1-60	c__	o__	f__	g__	s__
OTU_6312	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_10871	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_4227	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__	s__
OTU_4764	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_2269	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__JG30a-KF-32	g__	s__
OTU_12661	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_2120	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Family XII	g__Acidaminobacter	s__
OTU_5221	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_2321	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_2285	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Sva0071	f__	g__	s__
OTU_1224	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
OTU_2729	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4501	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__	g__	s__
OTU_6674	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_1104	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__
OTU_960	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_3087	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Hoeflea	s__
OTU_6635	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_2092	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiales Incertae Sedis	g__Candidatus Microthrix	s__
OTU_4708	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Pelosinus	s__
OTU_3243	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales Incertae Sedis	g__Bauldia	s__
OTU_1023	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_6046	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_2731	k__Bacteria	p__TM6	c__	o__	f__	g__	s__
OTU_2051	k__Bacteria	p__Chloroflexi	c__Caldilineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU_645	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Oceanimonas	s__
OTU_5793	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__
OTU_13087	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Jeotgalibacillus	s__
OTU_12665	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_725	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Levilinea	s__
OTU_1029	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__	s__
OTU_1807	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Altererythrobacter	s__
OTU_9596	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Prolixibacteraceae	g__Prolixibacter	s__
OTU_5459	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_8602	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__
OTU_279	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_11223	k__Bacteria	p__Chloroflexi	c__JG30-KF-CM66	o__	f__	g__	s__
OTU_2860	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_4921	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_225	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Variibacter	s__
OTU_4371	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	s__
OTU_884	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_213	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aestuariibaculum	s__
OTU_8559	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_2625	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_1656	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Sh765B-TzT-29	f__	g__	s__
OTU_12226	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_2097	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_4698	k__Bacteria	p__Planctomycetes	c__OM190	o__	f__	g__	s__
OTU_8056	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_2650	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__	s__
OTU_4700	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__
OTU_1299	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_7088	k__Bacteria	p__Spirochaetae	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Spirochaeta 2	s__
OTU_2033	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_3969	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_742	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Dechloromonas	s__
OTU_1558	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_8907	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_2639	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_914	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_8025	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillales Incertae Sedis	g__Elioraea	s__
OTU_3096	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__	s__
OTU_3711	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_1589	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Oscillatoria	s__
OTU_6605	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Lineage IIa	f__	g__	s__
OTU_4447	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4434	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_10308	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azovibrio	s__
OTU_306	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_13860	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Leptolyngbya	s__
OTU_1490	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Blvii28 wastewater-sludge group	s__
OTU_8817	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__KCLunmb-38-53	f__	g__	s__
OTU_3293	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_8326	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_9579	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_12684	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_1062	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Candidatus Solibacter	s__
OTU_2628	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_1296	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__	s__
OTU_8101	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Blastopirellula	s__
OTU_110	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__	s__
OTU_2627	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_10395	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_3985	k__Bacteria	p__Bacteroidetes	c__	o__	f__	g__	s__
OTU_14003	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_14078	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__NS9 marine group	g__	s__
OTU_1657	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__
OTU_2755	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Tardiphaga	s__
OTU_63	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_11804	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_6862	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_6588	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_10658	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Xiphinematobacteraceae	g__Candidatus Xiphinematobacter	s__
OTU_1256	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_58	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__
OTU_12194	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_2740	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_2377	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Xiphinematobacteraceae	g__Candidatus Xiphinematobacter	s__
OTU_11205	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_2061	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Candidatus Solibacter	s__
OTU_6787	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__DA101 soil group	g__	s__
OTU_13840	k__Bacteria	p__Omnitrophica	c__NPL-UPA2	o__	f__	g__	s__
OTU_7136	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Gillisia	s__
OTU_12284	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Order Incertae Sedis	f__Family Incertae Sedis	g__Marinicella	s__
OTU_8159	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Hydrogenophilales	f__Hydrogenophilaceae	g__	s__
OTU_1584	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__	g__	s__
OTU_6615	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_6441	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_644	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__	s__
OTU_14088	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__
OTU_10889	k__Bacteria	p__Acidobacteria	c__Subgroup 22	o__	f__	g__	s__
OTU_7652	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_1905	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__
OTU_5717	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales Incertae Sedis	g__Bauldia	s__
OTU_12201	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_10137	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__KD3-62	f__	g__	s__
OTU_2638	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__	s__
OTU_12966	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__	f__	g__	s__
OTU_1278	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Anaeromyxobacter	s__
OTU_3987	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__
OTU_3925	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__Candidatus Koribacter	s__
OTU_2187	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Pseudomaricurvus	s__
OTU_1000	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__
OTU_2397	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes vadinHA17	o__	f__	g__	s__
OTU_6831	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_6909	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_5953	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Sterolibacterium	s__
OTU_6569	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Sva0485	f__	g__	s__
OTU_3450	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Gallionella	s__
OTU_7974	k__Bacteria	p__TA06	c__	o__	f__	g__	s__
OTU_11588	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Variibacter	s__
OTU_3418	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_577	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Thauera	s__
OTU_10075	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_9234	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
OTU_2840	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 10	f__ABS-19	g__	s__
OTU_1756	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__
OTU_2299	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__TSAC18	g__	s__
OTU_12759	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_507	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_8453	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__BD2-11 terrestrial group	f__	g__	s__
OTU_1559	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
OTU_2632	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_495	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
OTU_6913	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Pla1 lineage	f__	g__	s__
OTU_1161	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_13094	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_2555	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Anaeromyxobacter	s__
OTU_4508	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_8303	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_1716	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_12938	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_1690	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_8958	k__Bacteria	p__Hydrogenedentes	c__	o__	f__	g__	s__
OTU_14251	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Oligoflexales	f__	g__	s__
OTU_8737	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__
OTU_3668	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_1821	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_987	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 25	f__	g__	s__
OTU_8935	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_6925	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__Syntrophobacter	s__
OTU_8707	k__Bacteria	p__WD272	c__	o__	f__	g__	s__
OTU_5912	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_2878	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__GR-WP33-30	f__	g__	s__
OTU_6437	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bosea	s__
OTU_3769	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_3363	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_3212	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_10092	k__Bacteria	p__Bacteroidetes	c__SB-5	o__	f__	g__	s__
OTU_1763	k__Bacteria	p__Lentisphaerae	c__WCHB1-41	o__	f__	g__	s__
OTU_5275	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_10979	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_7183	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_4901	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Anaeromyxobacter	s__
OTU_9040	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__
OTU_7428	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__Haliangium	s__
OTU_121	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__	s__
OTU_8756	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9603	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_5355	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 5	f__	g__	s__
